AlphaPower,BetaPower,Label,Electrode,SubjectID
-10.6294747417275,-11.8036660407528,1,1,1
-9.56514616717253,-11.9380587925879,1,2,1
-9.60616651584038,-13.1189615434919,1,3,1
-12.8045126559869,-17.9578461436121,1,1,2
-14.9704658150449,-19.5094193986947,1,2,2
-12.9392726938701,-19.581025047776,1,3,2
-14.6974131675772,-17.1994662617498,1,1,3
-15.2173958547482,-18.5001829689848,1,2,3
-14.1082400648604,-16.9774924284826,1,3,3
-11.6354561717729,-16.3251187548403,1,1,4
-11.8438961619527,-16.2411502412377,1,2,4
-11.1220183165568,-15.7532876869296,1,3,4
-18.8254418893697,-23.2275117792851,1,1,5
-18.1031871582032,-23.1332663536622,1,2,5
-17.8515244711671,-23.0814082889715,1,3,5
-11.581792177273,-18.5507734883822,1,1,6
-11.6743077335316,-17.864256828569,1,2,6
-11.9522186743463,-18.1840287770932,1,3,6
-5.04188887586061,-10.2370572156373,1,1,7
-11.3632812407543,-19.4605249672184,1,2,7
-11.0056226710265,-18.9148851235744,1,3,7
-13.207005569916,-18.1531275776477,0,1,8
-13.9790912093825,-17.5465215317089,0,2,8
-12.7403408610295,-20.5151253748066,0,3,8
-10.540776078475,-14.4533868313108,0,1,9
-11.1342849369941,-14.5575151810212,0,2,9
-12.6950634351393,-14.2468598986111,0,3,9
-15.9953635294821,-22.5914173859949,0,1,10
-16.8090941844141,-23.0576968406102,0,2,10
-16.3352793433217,-22.8214042065218,0,3,10
-16.6964358674132,-21.818881040461,0,1,11
-16.6760041385341,-21.5050216235103,0,2,11
-15.2501525036082,-20.905375366949,0,3,11
-12.8945363043952,-16.1067863624277,0,1,12
-13.6572699289032,-17.4929413050251,0,2,12
-13.1171197377685,-19.3195144846467,0,3,12
-13.2934880646525,-18.6189165829946,0,1,13
-12.5141547790348,-18.3772355465193,0,2,13
-11.9012695304178,-18.6909446363255,0,3,13
