Key,Section,DataType,Mean,Variance,StandardDeviation,Skewness,Kurtosis
A1,EC,Normal,-0.075,299.225,17.298,0.145,3.368
A1,EO,Normal,0.036,131.54,11.469,0.2,3.625
A1,DEC,Normal,-0.031,109.555,10.467,0.282,4.004
A1,NDEC,Normal,-0.002,68.451,8.274,0.054,3.052
A1,LinesDifference,Normal,1,0,0,NaN,NaN
A1,Difference_EC_EO,Normal,0.111,-167.685,-5.829,0.055,0.257
A1,Difference_DEC_EO,Normal,0.067,21.985,1.002,-0.082,-0.379
A1,Difference_NDEC_EO,Normal,0.038,63.089,3.195,0.146,0.573
A1,Ratio_EC_EO,Normal,-2.083,2.275,1.508,0.725,0.929
A1,Ratio_DEC_EO,Normal,-0.861,0.833,0.913,1.41,1.105
A1,Ratio_NDEC_EO,Normal,-0.056,0.52,0.721,0.27,0.842
A3,EC,Normal,-0.007,60.026,7.748,-0.223,3.402
A3,EO,Normal,0.004,43.027,6.559,-0.306,4.28
A3,DEC,Normal,-0.003,29.442,5.426,-0.086,2.989
A3,NDEC,Normal,0.023,34.675,5.889,0.085,2.934
A3,LinesDifference,Normal,4,0,0,NaN,NaN
A3,Difference_EC_EO,Normal,0.011,-16.999,-1.189,-0.083,0.878
A3,Difference_DEC_EO,Normal,0.007,13.585,1.133,-0.22,1.291
A3,Difference_NDEC_EO,Normal,-0.019,8.352,0.67,-0.391,1.346
A3,Ratio_EC_EO,Normal,-1.75,1.395,1.181,0.729,0.795
A3,Ratio_DEC_EO,Normal,-0.75,0.684,0.827,0.281,0.698
A3,Ratio_NDEC_EO,Normal,5.75,0.806,0.898,-0.278,0.686
A4,EC,Normal,0.002,328.219,18.117,-0.169,2.481
A4,EO,Normal,-0.091,47.411,6.886,-0.807,9.153
A4,DEC,Normal,0.036,24.685,4.968,0.161,3.584
A4,NDEC,Normal,0.044,22.124,4.704,-0.429,6.162
A4,LinesDifference,Normal,1,0,0,NaN,NaN
A4,Difference_EC_EO,Normal,-0.093,-280.808,-11.231,-0.638,6.672
A4,Difference_DEC_EO,Normal,-0.127,22.726,1.918,-0.968,5.569
A4,Difference_NDEC_EO,Normal,-0.135,25.287,2.182,-0.378,2.991
A4,Ratio_EC_EO,Normal,-0.022,6.923,2.631,0.209,0.271
A4,Ratio_DEC_EO,Normal,-0.396,0.521,0.721,-0.2,0.392
A4,Ratio_NDEC_EO,Normal,-0.484,0.467,0.683,0.532,0.673
A6,EC,Normal,-0.044,214.333,14.64,0.149,3.224
A6,EO,Normal,0.027,42.566,6.524,-0.045,3.018
A6,DEC,Normal,-0.092,48.715,6.98,-0.022,3.282
A6,NDEC,Normal,0.029,52.983,7.279,-0.087,3.295
A6,LinesDifference,Normal,5,0,0,NaN,NaN
A6,Difference_EC_EO,Normal,0.071,-171.767,-8.116,-0.194,-0.206
A6,Difference_DEC_EO,Normal,0.119,-6.149,-0.456,-0.023,-0.264
A6,Difference_NDEC_EO,Normal,-0.002,-10.417,-0.755,0.042,-0.277
A6,Ratio_EC_EO,Normal,-1.63,5.035,2.244,-3.311,1.068
A6,Ratio_DEC_EO,Normal,-3.407,1.144,1.07,0.489,1.087
A6,Ratio_NDEC_EO,Normal,1.074,1.245,1.116,1.933,1.092
A7,EC,Normal,-0.031,20.745,4.555,0.001,2.85
A7,EO,Normal,-0.024,17.375,4.168,-0.253,4.251
A7,DEC,Normal,-0.078,15.267,3.907,-0.166,4.113
A7,NDEC,Normal,0.008,17.678,4.204,0.073,3.071
A7,LinesDifference,Normal,5,0,0,NaN,NaN
A7,Difference_EC_EO,Normal,0.007,-3.37,-0.387,-0.254,1.401
A7,Difference_DEC_EO,Normal,0.054,2.108,0.261,-0.087,0.138
A7,Difference_NDEC_EO,Normal,-0.032,-0.303,-0.036,-0.326,1.18
A7,Ratio_EC_EO,Normal,1.292,1.194,1.093,-0.004,0.67
A7,Ratio_DEC_EO,Normal,3.25,0.879,0.937,0.656,0.968
A7,Ratio_NDEC_EO,Normal,-0.333,1.017,1.009,-0.289,0.722
A8,EC,Normal,0.055,105.336,10.263,0.022,2.78
A8,EO,Normal,-0.043,48.435,6.96,0.151,3.214
A8,DEC,Normal,-0.006,50.999,7.141,0.173,3.325
A8,NDEC,Normal,-0.014,44.266,6.653,0.38,4.089
A8,LinesDifference,Normal,5,0,0,NaN,NaN
A8,Difference_EC_EO,Normal,-0.098,-56.901,-3.303,0.129,0.434
A8,Difference_DEC_EO,Normal,-0.037,-2.564,-0.181,-0.022,-0.111
A8,Difference_NDEC_EO,Normal,-0.029,4.169,0.307,-0.229,-0.875
A8,Ratio_EC_EO,Normal,-1.279,2.175,1.475,0.146,0.865
A8,Ratio_DEC_EO,Normal,0.14,1.053,1.026,1.146,1.035
A8,Ratio_NDEC_EO,Normal,0.326,0.914,0.956,2.517,1.272
A9,EC,Normal,0.047,368.483,19.196,-0.186,2.495
A9,EO,Normal,0.087,49.383,7.027,0.253,3.126
A9,DEC,Normal,0.035,31.529,5.615,0.003,3.336
A9,NDEC,Normal,-0.012,45.843,6.771,-0.066,2.896
A9,LinesDifference,Normal,3,0,0,NaN,NaN
A9,Difference_EC_EO,Normal,0.04,-319.1,-12.169,0.439,0.631
A9,Difference_DEC_EO,Normal,0.052,17.854,1.412,0.25,-0.21
A9,Difference_NDEC_EO,Normal,0.099,3.54,0.256,0.319,0.23
A9,Ratio_EC_EO,Normal,0.54,7.462,2.732,-0.735,0.798
A9,Ratio_DEC_EO,Normal,0.402,0.638,0.799,0.012,1.067
A9,Ratio_NDEC_EO,Normal,-0.138,0.928,0.964,-0.261,0.926
C11,EC,Normal,-0.057,64.471,8.029,-0.088,5.459
C11,EO,Normal,0.024,64.451,8.028,-0.059,3.161
C11,DEC,Normal,0.015,98.213,9.91,0.036,3.199
C11,NDEC,Normal,0.045,64.786,8.049,0.027,3.022
