Section,DataType,Metric,A_Mean,A_StdDev,C_Mean,C_StdDev,P_Value,H
Difference_NDEC_EO,normal,std,-1.83828571428571,3.69437205824778,-0.525166666666667,1.46688151077947,0,1
NDEC,normal,mean,0.0328571428571429,0.0297008898375597,-0.0208333333333333,0.0365590845983138,0.013986013986014,1
EC,normal,kurtosis,2.96171428571429,0.333523469581834,3.743,0.80320906369388,0.0512820512820513,0
Difference_NDEC_EO,normal,mean,0.0295714285714286,0.0558356431647299,-0.0241666666666667,0.0395495469843419,0.074922037097867,0
DEC,normal,mean,-0.0247142857142857,0.0249045798044877,0.022,0.0593632883186233,0.101398601398601,0
Ratio_EC_EO,normal,kurtosis,0.729142857142857,0.309692551073603,1.02483333333333,0.292100268172877,0.101398601398601,0
Difference_EC_EO,normal,variance,113.255285714286,103.634441600777,39.6765,54.3448970916313,0.137529137529138,0
Difference_EC_EO,normal,skewness,0.219142857142857,0.656240156388759,-0.166166666666667,0.174256611543627,0.137529137529138,0
Difference_EC_EO,normal,kurtosis,-5.83857142857143,13.8626502138798,0.0133333333333333,1.00900023125204,0.137529137529138,0
Ratio_NDEC_EO,normal,skewness,0.416714285714286,1.15841842099271,3.059,4.23761687744421,0.137529137529138,0
EC,normal,variance,193.821,132.692335041127,82.5916666666667,46.6894510598129,0.180652680652681,0
EC,normal,std,12.9567142857143,5.50155525629755,8.77233333333333,2.60025819230835,0.180652680652681,0
Difference_NDEC_EO,normal,skewness,0.267857142857143,0.54259943130927,-0.0295,0.179561410108074,0.180652680652681,0
Ratio_DEC_EO,normal,mean,-2.558,3.62164451596233,-0.614166666666667,0.966275409325243,0.230583622502998,0
DEC,normal,skewness,0.00528571428571429,0.190653013164155,0.100333333333333,0.0977602509543969,0.234265734265734,0
Ratio_NDEC_EO,normal,mean,3.39185714285714,6.66910262400601,0.1625,0.951906875697408,0.267266349819456,0
DEC,normal,kurtosis,4.12828571428571,1.25183355047516,3.51233333333333,0.486543180680468,0.294871794871795,0
Ratio_NDEC_EO,normal,kurtosis,0.804571428571428,0.337605715365749,0.9925,0.199496115250398,0.294871794871795,0
Difference_DEC_EO,normal,mean,-0.028,0.0617305974915736,0.0186666666666667,0.0964316683806034,0.313460899989839,0
EO,normal,skewness,-0.275714285714286,0.70332323396044,0.0493333333333333,0.108796446020386,0.365967365967366,0
