ParamCombo,Condition,Metric,p_Value,h_Value
P0_5_D50_N15,DEC,Peak Height,6.19272576403344e-05,1
P1_5_D50_N15,DEC,Peak Height,0.000288459670263957,1
P1_D50_N15,DEC,Peak Height,0.000318448720021559,1
P1_5_D50_N15,NDEC,Peak Height,0.000340184598819478,1
P1_D50_N15,NDEC,Peak Height,0.000526592883103546,1
P1_5_D150_N15,NDEC,Peak Height,0.000651904462022179,1
P0_5_D50_N15,NDEC,Peak Height,0.000930168183519773,1
P0_5_D100_N15,DEC,Peak Height,0.00127909795546775,1
P1_5_D100_N15,DEC,Peak Height,0.00144996399053217,1
P1_D100_N15,DEC,Peak Height,0.00165313172367568,1
P1_5_D150_N15,NDEC,Prominence,0.00169294637536432,1
P0_5_D50_N15,DEC,Prominence,0.00188490219076715,1
P0_5_D50_N10,DEC,Peak Height,0.0020343463001805,1
P1_D100_N10,DEC,Peak Height,0.00250230749548332,1
P0_5_D100_N10,DEC,Peak Height,0.00270070173706044,1
P1_D50_N10,DEC,Peak Height,0.00281726598837403,1
P1_D150_N15,DEC,Peak Height,0.0028848941914274,1
P1_5_D100_N10,DEC,Peak Height,0.0029321371620866,1
P1_D150_N15,NDEC,Peak Height,0.00298744560518415,1
P1_5_D150_N10,NDEC,Peak Height,0.00313534598739022,1
P1_D150_N10,DEC,Peak Height,0.00345888574419736,1
P0_5_D150_N15,DEC,Peak Height,0.00348629589192215,1
P0_5_D150_N15,NDEC,Peak Height,0.00404319041306804,1
P1_D50_N10,NDEC,Peak Height,0.00424187505748161,1
P1_D150_N10,DEC,Prominence,0.00431794928130245,1
P1_5_D150_N15,DEC,Peak Height,0.00432894408973619,1
P1_D50_N15,DEC,Prominence,0.00446779248832645,1
P1_5_D50_N10,DEC,Peak Height,0.00451072983472871,1
P0_5_D150_N15,EC,Peak Height,0.00475852755365444,1
P0_5_D150_N10,DEC,Peak Height,0.00508535632268364,1
P1_5_D150_N5,NDEC,Peak Height,0.00509879638917524,1
P1_D150_N15,DEC,Prominence,0.00519324908822114,1
P1_5_D50_N15,EC,Peak Height,0.00531190878800524,1
P1_5_D50_N15,DEC,Prominence,0.005418810816649,1
P1_D150_N15,EC,Peak Height,0.00546648615241221,1
P1_5_D150_N15,EC,Peak Height,0.00546648615241221,1
P1_D150_N15,NDEC,Prominence,0.00551186900791193,1
P1_5_D100_N15,DEC,Prominence,0.00604641501011526,1
P1_5_D150_N10,DEC,Peak Height,0.00644158737722366,1
P1_D50_N15,EC,Peak Height,0.00648530336150652,1
P1_D100_N15,EC,Peak Height,0.00649611811071463,1
P1_5_D150_N10,NDEC,Prominence,0.00696298201621433,1
P0_5_D100_N15,EC,Peak Height,0.00717517561961966,1
P0_5_D150_N15,NDEC,Prominence,0.0072109258813869,1
P0_5_D50_N10,NDEC,Peak Height,0.00753273200589967,1
P1_5_D50_N15,NDEC,Prominence,0.00779884757199613,1
P0_5_D100_N15,DEC,Prominence,0.00791798870179908,1
P1_5_D100_N15,EC,Peak Height,0.00829147545300578,1
P1_D100_N15,DEC,Prominence,0.00913632297392811,1
P1_D50_N15,NDEC,Prominence,0.00943331033986314,1
P1_5_D100_N10,DEC,Prominence,0.00944317302510728,1
P1_D150_N10,EC,Peak Height,0.00955575853932342,1
P1_5_D150_N10,EC,Peak Height,0.00955575853932342,1
P0_5_D150_N15,DEC,Prominence,0.00975990167960703,1
P1_D100_N10,NDEC,Peak Height,0.0098702606239099,1
P1_5_D100_N10,NDEC,Peak Height,0.0098702606239099,1
P1_D150_N10,NDEC,Peak Height,0.0100198095840679,1
P0_5_D150_N10,EC,Peak Height,0.0101573877590808,1
P1_5_D150_N15,DEC,Prominence,0.0101887785208202,1
P0_5_D100_N10,NDEC,Peak Height,0.0102381915998736,1
P1_5_D50_N10,NDEC,Peak Height,0.0106523228406817,1
P1_D100_N15,NDEC,Peak Height,0.0114082175728972,1
P1_5_D100_N15,NDEC,Peak Height,0.0114082175728972,1
P1_5_D150_N10,DEC,Prominence,0.0115229293473268,1
P1_5_D150_N5,NDEC,Prominence,0.0117889389847025,1
P1_D100_N10,DEC,Prominence,0.0120102695670315,1
P0_5_D150_N10,NDEC,Peak Height,0.0126197074462497,1
P1_D150_N15,EC,Prominence,0.0127589613316224,1
P1_5_D150_N15,EC,Prominence,0.0127589613316224,1
P1_D50_N10,DEC,Prominence,0.0128345511353214,1
P0_5_D150_N10,DEC,Prominence,0.0131308236436982,1
P0_5_D50_N15,NDEC,Prominence,0.0139472566283032,1
P1_5_D100_N15,EC,Prominence,0.0150227150840474,1
P1_5_D100_N10,EC,Peak Height,0.0155797856018894,1
P0_5_D100_N15,NDEC,Peak Height,0.0159087363022307,1
P0_5_D50_N10,DEC,Prominence,0.0159943058974494,1
P1_5_D50_N15,EO,Prominence,0.0163130156830802,1
P0_5_D150_N10,EC,Prominence,0.0165773418628388,1
P0_5_D150_N15,EC,Prominence,0.0173805078774247,1
P1_5_D50_N15,EC,Prominence,0.0175217630881188,1
P1_D150_N10,EC,Prominence,0.017782250743511,1
P1_5_D150_N10,EC,Prominence,0.017782250743511,1
P1_D150_N10,NDEC,Prominence,0.0178552139244676,1
P0_5_D100_N10,EC,Peak Height,0.0187052694025056,1
P1_D100_N10,EC,Peak Height,0.0188579859800908,1
P1_D100_N15,EC,Prominence,0.0189121136305852,1
P0_5_D100_N10,DEC,Prominence,0.0196128304089304,1
P1_D50_N15,EO,Prominence,0.0200772047175099,1
P1_5_D100_N10,EC,Prominence,0.0204927943404441,1
P0_5_D100_N10,EC,Prominence,0.0212363861980723,1
P1_D50_N15,EO,Peak Height,0.021251507718565,1
P1_D50_N15,EC,Prominence,0.0212832680914635,1
P0_5_D100_N15,EC,Prominence,0.0216596049300122,1
