Participant,Accuracy,MCC,Confusion Matrix,0,1,2,3,4,5,6,7
a1_Dominant_Eye_Closed_,1.0,0.0,"[[ 0  0]
 [ 0 40]]",0,40,0,0,0,0,0,0
a1_Eyes_Closed,1.0,0.0,"[[ 0  0]
 [ 0 40]]",0,40,0,0,0,0,0,0
a1_Eyes_Opened,1.0,0.0,"[[ 0  0]
 [ 0 40]]",0,40,0,0,0,0,0,0
a1_Non_Dominant_Eye_Closed,1.0,0.0,"[[ 0  0]
 [ 0 40]]",0,40,0,0,0,0,0,0
c1_Dominant_Eye_Closed_,0.75,0.0,"[[30 10]
 [ 0  0]]",40,0,0,0,0,0,0,0
c1_Eyes_Closed,0.575,0.0,"[[23 17]
 [ 0  0]]",40,0,0,0,0,0,0,0
c1_Eyes_Opened,0.975,0.0,"[[39  1]
 [ 0  0]]",40,0,0,0,0,0,0,0
c1_Non_Dominant_Eye_Closed,0.85,0.0,"[[34  6]
 [ 0  0]]",40,0,0,0,0,0,0,0
Mean,0.89375,0.0,,160,160,0,0,0,0,0,0
Std,0.15853683663877166,0.0,,,,,,,,,
Overall,0.89375,0.805906034276003,,160,160,0,0,0,0,0,0
